Frame,Time(MS),Ego_Type,Ego_SizeX(M),Ego_SizeY(M),Ego_SizeZ(M),Ego_PosX(M),Ego_PosY(M),Ego_RotZ(R),Ego_Speed(M/S),Ego_LinearVelocityX(M/S),Ego_LinearVelocityY(M/S),Ego_LinearAccelerationX(M/S2),Ego_LinearAccelerationY(M/S2),Actor_11_Type,Actor_11_SizeX(M),Actor_11_SizeY(M),Actor_11_SizeZ(M),Actor_11_PosX(M),Actor_11_PosY(M),Actor_11_RotZ(R),Actor_12_Type,Actor_12_SizeX(M),Actor_12_SizeY(M),Actor_12_SizeZ(M),Actor_12_PosX(M),Actor_12_PosY(M),Actor_12_RotZ(R),Actor_13_Type,Actor_13_SizeX(M),Actor_13_SizeY(M),Actor_13_SizeZ(M),Actor_13_PosX(M),Actor_13_PosY(M),Actor_13_RotZ(R),Actor_14_Type,Actor_14_SizeX(M),Actor_14_SizeY(M),Actor_14_SizeZ(M),Actor_14_PosX(M),Actor_14_PosY(M),Actor_14_RotZ(R)
37,616.666687,Sedan,4.93,1.86,1.48,-124.637039,-0.59261,0.041683,16.834972,16.820351,0.701523,3.817558,0.811256,Truck,13.465333,3.068987,4.177894,-154.192886,6.065032,0.011868,Car,5.57548,2.385468,1.880301,-149.776321,-1.361207,0.02006,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
38,633.333313,Sedan,4.93,1.86,1.48,-124.349991,-0.580449,0.042343,16.900387,16.885239,0.715397,3.816941,0.816117,Truck,13.465333,3.068987,4.177894,-153.915833,6.068309,0.01178,Car,5.57548,2.385468,1.880301,-149.512589,-1.355948,0.019819,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
39,650.0,Sedan,4.93,1.86,1.48,-124.061836,-0.56805,0.043003,16.965799,16.950115,0.729357,3.816268,0.821177,Truck,13.465333,3.068987,4.177894,-153.638779,6.071558,0.01167,Car,5.57548,2.385468,1.880301,-149.248886,-1.350752,0.019591,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
40,666.666687,Sedan,4.93,1.86,1.48,-123.789658,-0.556168,0.043625,17.027367,17.011168,0.742575,3.81577,0.826135,Truck,13.465333,3.068987,4.177894,-153.361755,6.074774,0.011543,Car,5.57548,2.385468,1.880301,-148.985229,-1.345614,0.019376,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
41,683.333313,Sedan,4.93,1.86,1.48,-123.499397,-0.543313,0.044259,17.090834,17.074099,0.756169,3.701827,0.79961,Truck,13.465333,3.068987,4.177894,-153.084717,6.077952,0.011398,Car,5.57548,2.385468,1.880301,-148.721588,-1.340533,0.019172,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
42,700.0,Sedan,4.93,1.86,1.48,-123.208961,-0.530475,0.044176,17.101141,17.084457,0.755206,0.609342,-0.056635,Truck,13.465333,3.068987,4.177894,-152.807709,6.081087,0.011235,Car,5.57548,2.385468,1.880301,-148.457977,-1.335503,0.018985,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
43,716.666687,Sedan,4.93,1.86,1.48,-122.935455,-0.518406,0.044097,17.11084,17.094206,0.754298,0.609279,-0.056736,Truck,13.465333,3.068987,4.177894,-152.530685,6.084175,0.011055,Car,5.57548,2.385468,1.880301,-148.194397,-1.330521,0.018813,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
44,733.333313,Sedan,4.93,1.86,1.48,-122.644676,-0.5056,0.044014,17.121145,17.104565,0.753332,0.609342,-0.056831,Truck,13.465333,3.068987,4.177894,-152.253677,6.08721,0.010857,Car,5.57548,2.385468,1.880301,-147.930847,-1.325583,0.018657,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
45,750.0,Sedan,4.93,1.86,1.48,-122.353722,-0.492809,0.043931,17.131449,17.11492,0.752364,0.609117,-0.056936,Truck,13.465333,3.068987,4.177894,-151.976654,6.090189,0.010645,Car,5.57548,2.385468,1.880301,-147.667313,-1.320685,0.018517,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
46,766.666687,Sedan,4.93,1.86,1.48,-122.079727,-0.480786,0.043853,17.141148,17.124668,0.751452,0.609279,-0.057034,Truck,13.465333,3.068987,4.177894,-151.699554,6.093109,0.010426,Car,5.57548,2.385468,1.880301,-147.403809,-1.315822,0.018392,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
