Frame,Time(MS),Ego_Type,Ego_SizeX(M),Ego_SizeY(M),Ego_SizeZ(M),Ego_PosX(M),Ego_PosY(M),Ego_RotZ(R),Ego_Speed(M/S),Ego_LinearVelocityX(M/S),Ego_LinearVelocityY(M/S),Ego_LinearAccelerationX(M/S2),Ego_LinearAccelerationY(M/S2),Actor_11_Type,Actor_11_SizeX(M),Actor_11_SizeY(M),Actor_11_SizeZ(M),Actor_11_PosX(M),Actor_11_PosY(M),Actor_11_RotZ(R),Actor_12_Type,Actor_12_SizeX(M),Actor_12_SizeY(M),Actor_12_SizeZ(M),Actor_12_PosX(M),Actor_12_PosY(M),Actor_12_RotZ(R),Actor_13_Type,Actor_13_SizeX(M),Actor_13_SizeY(M),Actor_13_SizeZ(M),Actor_13_PosX(M),Actor_13_PosY(M),Actor_13_RotZ(R),Actor_14_Type,Actor_14_SizeX(M),Actor_14_SizeY(M),Actor_14_SizeZ(M),Actor_14_PosX(M),Actor_14_PosY(M),Actor_14_RotZ(R)
29,483.333344,Truck,5.53,2.69,3.17,-154.216599,5.694539,0.003686,24.190271,24.190107,0.089172,4.727756,0.511803,Sedan,4.365002,2.123602,1.659208,-129.446182,-0.909015,0.036528,Sedan,4.20256,2.002182,1.370535,-149.950729,-1.512147,0.023759,,,,,,,,,,,,,,
30,500,Truck,5.53,2.69,3.17,-153.804001,5.696203,0.004035,24.270672,24.270473,0.097928,4.727419,0.515099,Sedan,4.365002,2.123602,1.659208,-129.249588,-0.901806,0.036776,Sedan,4.20256,2.002182,1.370535,-149.746475,-1.507261,0.024075,,,,,,,,,,,,,,
31,516.666687,Truck,5.53,2.69,3.17,-153.414459,5.697903,0.004363,24.346352,24.346119,0.106222,4.72784,0.518331,Sedan,4.365002,2.123602,1.659208,-129.052826,-0.894542,0.037021,Sedan,4.20256,2.002182,1.370535,-149.542267,-1.502312,0.024385,,,,,,,,,,,,,,
32,533.333313,Truck,5.53,2.69,3.17,-152.999207,5.699859,0.004712,24.426752,24.426481,0.115087,4.727195,0.521499,Sedan,4.365002,2.123602,1.659208,-128.855896,-0.887224,0.037264,Sedan,4.20256,2.002182,1.370535,-149.338074,-1.497301,0.02469,,,,,,,,,,,,,,
33,550,Truck,5.53,2.69,3.17,-152.582596,5.701967,0.00506,24.507154,24.506842,0.124009,4.727083,0.524795,Sedan,4.365002,2.123602,1.659208,-128.658798,-0.879852,0.037506,Sedan,4.20256,2.002182,1.370535,-149.133926,-1.492228,0.024989,,,,,,,,,,,,,,
34,566.666687,Truck,5.53,2.69,3.17,-152.18927,5.704087,0.005388,24.582832,24.582476,0.132457,4.727125,0.528027,Sedan,4.365002,2.123602,1.659208,-128.461533,-0.872427,0.037746,Sedan,4.20256,2.002182,1.370535,-148.929794,-1.487096,0.025282,,,,,,,,,,,,,,
35,583.333313,Truck,5.53,2.69,3.17,-151.770004,5.706492,0.005737,24.663235,24.662828,0.141488,4.726634,0.531194,Sedan,4.365002,2.123602,1.659208,-128.264099,-0.864947,0.037985,Sedan,4.20256,2.002182,1.370535,-148.725677,-1.481905,0.025568,,,,,,,,,,,,,,
36,600,Truck,5.53,2.69,3.17,-151.349365,5.709052,0.006085,24.743637,24.743179,0.150574,4.726522,0.534491,Sedan,4.365002,2.123602,1.659208,-128.066513,-0.857415,0.038222,Sedan,4.20256,2.002182,1.370535,-148.521576,-1.476657,0.025846,,,,,,,,,,,,,,
37,616.666687,Truck,5.53,2.69,3.17,-150.952271,5.711598,0.006413,24.819315,24.818804,0.159177,4.726529,0.537722,Sedan,4.365002,2.123602,1.659208,-127.868744,-0.849829,0.038456,Sedan,4.20256,2.002182,1.370535,-148.31749,-1.471353,0.026117,,,,,,,,,,,,,,
38,633.333313,Truck,5.53,2.69,3.17,-150.528992,5.714461,0.006762,24.899717,24.899149,0.168373,4.726185,0.540889,Sedan,4.365002,2.123602,1.659208,-127.670815,-0.84219,0.038689,Sedan,4.20256,2.002182,1.370535,-148.113419,-1.465995,0.026381,,,,,,,,,,,,,,
39,650,Truck,5.53,2.69,3.17,-150.10434,5.717481,0.007111,24.98012,24.979488,0.177624,4.725849,0.544185,Sedan,4.365002,2.123602,1.659208,-127.47271,-0.834499,0.038918,Sedan,4.20256,2.002182,1.370535,-147.909363,-1.460584,0.026639,,,,,,,,,,,,,,
40,666.666687,Truck,5.53,2.69,3.17,-149.703461,5.720463,0.007439,25.055796,25.055103,0.186382,4.725933,0.547417,Sedan,4.365002,2.123602,1.659208,-127.274445,-0.826757,0.039146,Sedan,4.20256,2.002182,1.370535,-147.705307,-1.455122,0.02689,,,,,,,,,,,,,,
41,683.333313,Truck,5.53,2.69,3.17,-149.27623,5.723783,0.007771,25.132261,25.131502,0.195301,4.49405,0.52463,Sedan,4.365002,2.123602,1.659208,-127.076004,-0.818962,0.039372,Sedan,4.20256,2.002182,1.370535,-147.501251,-1.449608,0.027132,,,,,,,,,,,,,,
42,700,Truck,5.53,2.69,3.17,-148.849533,5.72705,0.007656,25.10099,25.100254,0.192178,-1.838123,-0.183709,Sedan,4.365002,2.123602,1.659208,-126.877396,-0.811116,0.039596,Sedan,4.20256,2.002182,1.370535,-147.29718,-1.444046,0.027368,,,,,,,,,,,,,,
43,716.666687,Truck,5.53,2.69,3.17,-148.448395,5.730078,0.007548,25.07156,25.070845,0.189245,-1.838088,-0.183309,Sedan,4.365002,2.123602,1.659208,-126.678619,-0.803219,0.039817,Sedan,4.20256,2.002182,1.370535,-147.093124,-1.438437,0.027595,,,,,,,,,,,,,,
44,733.333313,Truck,5.53,2.69,3.17,-148.02272,5.733242,0.007434,25.040289,25.039597,0.186136,-1.838123,-0.182889,Sedan,4.365002,2.123602,1.659208,-126.47966,-0.795271,0.040035,Sedan,4.20256,2.002182,1.370535,-146.889053,-1.432781,0.027815,,,,,,,,,,,,,,
45,750,Truck,5.53,2.69,3.17,-147.59758,5.736353,0.007319,25.009018,25.008348,0.183034,-1.838123,-0.182467,Sedan,4.365002,2.123602,1.659208,-126.280533,-0.787273,0.040251,Sedan,4.20256,2.002182,1.370535,-146.684967,-1.427082,0.028028,,,,,,,,,,,,,,
46,766.666687,Truck,5.53,2.69,3.17,-147.197922,5.739235,0.007211,24.979588,24.978937,0.180121,-1.838207,-0.182069,Sedan,4.365002,2.123602,1.659208,-126.081238,-0.779226,0.040464,Sedan,4.20256,2.002182,1.370535,-146.480881,-1.421338,0.028234,,,,,,,,,,,,,,
47,783.333313,Truck,5.53,2.69,3.17,-146.773804,5.742245,0.007096,24.948315,24.947687,0.177033,-1.838235,-0.181648,Sedan,4.365002,2.123602,1.659208,-125.881767,-0.771129,0.040675,Sedan,4.20256,2.002182,1.370535,-146.276749,-1.415553,0.028433,,,,,,,,,,,,,,
48,800,Truck,5.53,2.69,3.17,-146.35022,5.745203,0.006981,24.917046,24.916439,0.173952,-1.838123,-0.181226,Sedan,4.365002,2.123602,1.659208,-125.682114,-0.762982,0.040883,Sedan,4.20256,2.002182,1.370535,-146.072601,-1.409728,0.028624,,,,,,,,,,,,,,
49,816.666687,Truck,5.53,2.69,3.17,-145.952026,5.74794,0.006873,24.887613,24.887026,0.171059,-1.838326,-0.180827,Sedan,4.365002,2.123602,1.659208,-125.482277,-0.754788,0.041088,Sedan,4.20256,2.002182,1.370535,-145.868439,-1.403863,0.028807,,,,,,,,,,,,,,
50,833.333313,Truck,5.53,2.69,3.17,-145.52948,5.750795,0.006759,24.856342,24.855774,0.167992,-1.838347,-0.180407,Sedan,4.365002,2.123602,1.659208,-125.282272,-0.746545,0.04129,Sedan,4.20256,2.002182,1.370535,-145.664246,-1.397961,0.028984,,,,,,,,,,,,,,
51,850,Truck,5.53,2.69,3.17,-145.107468,5.753599,0.006644,24.825071,24.824524,0.164932,-1.838235,-0.179985,Sedan,4.365002,2.123602,1.659208,-125.082085,-0.738254,0.041489,Sedan,4.20256,2.002182,1.370535,-145.460037,-1.392023,0.029154,,,,,,,,,,,,,,
52,866.666687,Truck,5.53,2.69,3.17,-144.710739,5.756192,0.006536,24.795639,24.795109,0.162059,-1.838446,-0.179586,Sedan,4.365002,2.123602,1.659208,-124.881714,-0.729917,0.041685,Sedan,4.20256,2.002182,1.370535,-145.255768,-1.38605,0.029317,,,,,,,,,,,,,,
53,883.333313,Truck,5.53,2.69,3.17,-144.289749,5.758895,0.006421,24.76437,24.763859,0.159013,-1.838235,-0.179165,Sedan,4.365002,2.123602,1.659208,-124.68116,-0.721532,0.041878,Sedan,4.20256,2.002182,1.370535,-145.051468,-1.380042,0.029473,,,,,,,,,,,,,,
54,900,Truck,5.53,2.69,3.17,-143.869293,5.761547,0.006306,24.733099,24.732607,0.155974,-1.838347,-0.178744,Sedan,4.365002,2.123602,1.659208,-124.480423,-0.713102,0.042068,Sedan,4.20256,2.002182,1.370535,-144.847122,-1.374002,0.029623,,,,,,,,,,,,,,
55,916.666687,Truck,5.53,2.69,3.17,-143.474045,5.763997,0.006198,24.703667,24.703192,0.153121,-1.838446,-0.178345,Sedan,4.365002,2.123602,1.659208,-124.279495,-0.704625,0.042255,Sedan,4.20256,2.002182,1.370535,-144.642746,-1.367932,0.029766,,,,,,,,,,,,,,
56,933.333313,Truck,5.53,2.69,3.17,-143.054626,5.766549,0.006084,24.672396,24.67194,0.150096,-1.838347,-0.177925,Sedan,4.365002,2.123602,1.659208,-124.078384,-0.696104,0.042438,Sedan,4.20256,2.002182,1.370535,-144.438324,-1.361831,0.029902,,,,,,,,,,,,,,
57,950,Truck,5.53,2.69,3.17,-142.635742,5.769049,0.005969,24.641127,24.640688,0.147078,-1.838347,-0.177502,Sedan,4.365002,2.123602,1.659208,-123.877075,-0.687537,0.042618,Sedan,4.20256,2.002182,1.370535,-144.233841,-1.355702,0.030031,,,,,,,,,,,,,,
58,966.666687,Truck,5.53,2.69,3.17,-142.241959,5.771357,0.005861,24.611691,24.611269,0.144245,-1.838684,-0.177105,Sedan,4.365002,2.123602,1.659208,-123.675591,-0.678927,0.042795,Sedan,4.20256,2.002182,1.370535,-144.029312,-1.349545,0.030156,,,,,,,,,,,,,,
59,983.333313,Truck,5.53,2.69,3.17,-141.824112,5.773757,0.005743,24.579548,24.579144,0.141151,-1.889734,-0.181978,Sedan,4.365002,2.123602,1.659208,-123.4739,-0.670273,0.042968,Sedan,4.20256,2.002182,1.370535,-143.824722,-1.343361,0.030274,,,,,,,,,,,,,,
60,1000,Truck,5.53,2.69,3.17,-141.407074,5.776076,0.005563,24.531736,24.531357,0.136458,-2.810983,-0.27606,Sedan,4.365002,2.123602,1.659208,-123.272018,-0.661576,0.043139,Sedan,4.20256,2.002182,1.370535,-143.620087,-1.337152,0.030386,,,,,,,,,,,,,,
61,1016.666687,Truck,5.53,2.69,3.17,-141.015289,5.778189,0.005393,24.486736,24.48638,0.132057,-2.811074,-0.275093,Sedan,4.365002,2.123602,1.659208,-123.069939,-0.652836,0.043306,Sedan,4.20256,2.002182,1.370535,-143.415375,-1.330919,0.030492,,,,,,,,,,,,,,
62,1033.333374,Truck,5.53,2.69,3.17,-140.599838,5.780355,0.005213,24.438925,24.438593,0.127397,-2.810983,-0.274094,Sedan,4.365002,2.123602,1.659208,-122.867653,-0.644054,0.043469,Sedan,4.20256,2.002182,1.370535,-143.210602,-1.324663,0.030593,,,,,,,,,,,,,,
63,1050,Truck,5.53,2.69,3.17,-140.18515,5.782446,0.005043,24.393921,24.393612,0.123027,-2.645941,-0.257061,Sedan,4.365002,2.123602,1.659208,-122.665176,-0.635231,0.043628,Sedan,4.20256,2.002182,1.370535,-143.005783,-1.318385,0.030688,,,,,,,,,,,,,,
64,1066.666626,Truck,5.53,2.69,3.17,-139.795578,5.784345,0.004874,24.348923,24.348633,0.118672,-2.811193,-0.272173,Sedan,4.365002,2.123602,1.659208,-122.462494,-0.626367,0.043785,Sedan,4.20256,2.002182,1.370535,-142.800873,-1.312086,0.030778,,,,,,,,,,,,,,
65,1083.333374,Truck,5.53,2.69,3.17,-139.382462,5.786284,0.004694,24.301111,24.300844,0.114062,-2.811095,-0.271174,Sedan,4.365002,2.123602,1.659208,-122.259613,-0.617462,0.043938,Sedan,4.20256,2.002182,1.370535,-142.595901,-1.305766,0.030864,,,,,,,,,,,,,,
66,1100,Truck,5.53,2.69,3.17,-138.970154,5.788146,0.004514,24.253298,24.253052,0.10947,-2.81132,-0.270162,Sedan,4.365002,2.123602,1.659208,-122.056519,-0.608518,0.044087,Sedan,4.20256,2.002182,1.370535,-142.390854,-1.299427,0.030945,,,,,,,,,,,,,,
67,1116.666626,Truck,5.53,2.69,3.17,-138.582825,5.789828,0.004344,24.2083,24.208071,0.105162,-2.811312,-0.269194,Sedan,4.365002,2.123602,1.659208,-121.85321,-0.599534,0.044233,Sedan,4.20256,2.002182,1.370535,-142.18573,-1.29307,0.031021,,,,,,,,,,,,,,
68,1133.333374,Truck,5.53,2.69,3.17,-138.172104,5.791539,0.004164,24.160488,24.160278,0.100603,-2.81132,-0.268195,Sedan,4.365002,2.123602,1.659208,-121.649696,-0.590511,0.044375,Sedan,4.20256,2.002182,1.370535,-141.98053,-1.286695,0.031092,,,,,,,,,,,,,,
69,1150,Truck,5.53,2.69,3.17,-137.762192,5.793172,0.003984,24.112677,24.112486,0.096061,-2.81132,-0.267182,Sedan,4.365002,2.123602,1.659208,-121.445969,-0.581451,0.044513,Sedan,4.20256,2.002182,1.370535,-141.775269,-1.280304,0.031159,,,,,,,,,,,,,,
70,1166.666626,Truck,5.53,2.69,3.17,-137.377106,5.794641,0.003814,24.067675,24.067499,0.091802,-2.81167,-0.266215,Sedan,4.365002,2.123602,1.659208,-121.242035,-0.572353,0.044647,Sedan,4.20256,2.002182,1.370535,-141.569916,-1.273896,0.031223,,,,,,,,,,,,,,
71,1183.333374,Truck,5.53,2.69,3.17,-136.968765,5.796124,0.003634,24.019865,24.019707,0.087293,-2.81132,-0.265215,Sedan,4.365002,2.123602,1.659208,-121.037872,-0.563218,0.044778,Sedan,4.20256,2.002182,1.370535,-141.364471,-1.267474,0.031283,,,,,,,,,,,,,,
72,1200,Truck,5.53,2.69,3.17,-136.561249,5.797532,0.003454,23.972052,23.97191,0.082801,-2.811544,-0.264203,Sedan,4.365002,2.123602,1.659208,-120.833496,-0.554047,0.044906,Sedan,4.20256,2.002182,1.370535,-141.158951,-1.261036,0.031339,,,,,,,,,,,,,,
